ORDERNUMBER,QUANTITYORDERED,PRODUCTLINE,PRICEEACH,CUSTOMERNAME,PHONE,STATE,ORDERDATE
10245,34,Classic Cars,100,Super Scale Inc.,2035559545,CT,11/25/2003 0:00
10258,32,Classic Cars,100,"Tokyo Collectables, Ltd",+81 3 3584 0555,Tokyo,6/15/2004 0:00
10270,21,Classic Cars,100,Souveniers And Things Co.,+61 2 9495 8555,NSW,7/19/2004 0:00
10280,34,Classic Cars,100,Amica Models & Co.,011-4988555,,8/17/2004 0:00
10291,37,Classic Cars,100,Scandinavian Gift Ideas,0695-34 6555,,11/18/2004 0:00
10304,47,Classic Cars,100,Auto Assoc. & Cie.,30.59.8555,,11/25/2003 0:00
10312,48,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,10/21/2004 0:00
10322,40,Classic Cars,100,Online Diecast Creations Co.,6035558647,NH,11/18/2004 0:00
10333,26,Classic Cars,100,Mini Wheels Co.,6505555787,CA,11/18/2004 0:00
10347,30,Classic Cars,100,"Australian Collectors, Co.",03 9520 4555,Victoria,11/29/2004 0:00
10357,32,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,11/18/2004 0:00
10369,41,Classic Cars,100,Collectables For Less Inc.,6175558555,MA,11/18/2004 0:00
10381,36,Classic Cars,100,Corporate Gift Ideas Co.,6505551386,CA,11/25/2003 0:00
10391,24,Classic Cars,100,"Anna's Decorations, Ltd",02 9936 8555,NSW,11/18/2004 0:00
10411,23,Classic Cars,100,Quebec Home Shopping Network,(514) 555-8054,Quebec,11/25/2003 0:00
10424,50,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,11/25/2003 0:00
10107,39,Motorcycles,99.91,Land of Toys Inc.,2125557818,NY,11/25/2003 0:00
10120,29,Motorcycles,96.34,"Australian Collectors, Co.",03 9520 4555,Victoria,11/25/2003 0:00
10134,27,Motorcycles,100,Lyon Souveniers,+33 1 46 62 7555,,11/18/2004 0:00
10145,37,Motorcycles,100,Toys4GrownUps.com,6265557265,CA,11/25/2003 0:00
10159,37,Motorcycles,100,Corporate Gift Ideas Co.,6505551386,CA,11/18/2004 0:00
10168,27,Motorcycles,100,Technics Stores Inc.,6505556809,CA,11/25/2003 0:00
10180,42,Motorcycles,100,Daedalus Designs Imports,20.16.1555,,24-10-2004 00:00
10188,38,Motorcycles,96.34,Herkku Gifts,+47 2267 3215,,25-10-2004 00:00
10201,24,Motorcycles,100,Mini Wheels Co.,6505555787,CA,26-10-2004 00:00
10210,23,Motorcycles,100,Osaka Souveniers Co.,+81 06 6342 5555,Osaka,27-10-2004 00:00
10223,47,Motorcycles,100,"Australian Collectors, Co.",03 9520 4555,Victoria,28-10-2004 00:00
10236,22,Motorcycles,100,Motor Mint Distributors Inc.,2155559857,PA,29-10-2004 00:00
10251,44,Motorcycles,100,Tekni Collectables Inc.,2015559350,NJ,30-10-2004 00:00
10263,40,Motorcycles,100,Gift Depot Inc.,2035552570,CT,31-10-2004 00:00
10275,22,Motorcycles,100,La Rochelle Gifts,40.67.8555,,01-11-2004 00:00
10285,47,Motorcycles,100,Marta's Replicas Co.,6175558555,MA,02-11-2004 00:00
10298,39,Motorcycles,96.34,Atelier graphique,40.32.2555,,03-11-2004 00:00
10308,34,Motorcycles,100,Mini Classics,9145554562,NY,04-11-2004 00:00
10318,45,Motorcycles,100,Diecast Classics Inc.,2155551555,PA,05-11-2004 00:00
10329,20,Motorcycles,100,Land of Toys Inc.,2125557818,NY,06-11-2004 00:00
10339,40,Motorcycles,68.92,"Tokyo Collectables, Ltd",+81 3 3584 0555,Tokyo,07-11-2004 00:00
10361,26,Motorcycles,51.15,Souveniers And Things Co.,+61 2 9495 8555,NSW,08-11-2004 00:00
10374,39,Motorcycles,100,"Australian Gift Network, Co",61-7-3844-6555,Queensland,09-11-2004 00:00
10388,50,Motorcycles,44.51,FunGiftIdeas.com,5085552555,MA,10-11-2004 00:00
10402,45,Motorcycles,100,Auto Canal Petit,(1) 47.55.6555,,11-11-2004 00:00
10417,45,Motorcycles,100,Euro Shopping Channel,(91) 555 94 44,,12-11-2004 00:00
10107,27,Motorcycles,100,Land of Toys Inc.,2125557818,NY,13-11-2004 00:00
10120,46,Motorcycles,100,"Australian Collectors, Co.",03 9520 4555,Victoria,14-11-2004 00:00
10134,31,Motorcycles,100,Lyon Souveniers,+33 1 46 62 7555,,15-11-2004 00:00
10145,33,Motorcycles,100,Toys4GrownUps.com,6265557265,CA,16-11-2004 00:00
10159,22,Motorcycles,100,Corporate Gift Ideas Co.,6505551386,CA,17-11-2004 00:00
10168,20,Motorcycles,100,Technics Stores Inc.,6505556809,CA,18-11-2004 00:00
10180,41,Motorcycles,100,Daedalus Designs Imports,20.16.1555,,19-11-2004 00:00
10188,45,Motorcycles,100,Herkku Gifts,+47 2267 3215,,20-11-2004 00:00
10201,49,Motorcycles,100,Mini Wheels Co.,6505555787,CA,21-11-2004 00:00
10210,34,Motorcycles,100,Osaka Souveniers Co.,+81 06 6342 5555,Osaka,22-11-2004 00:00
10223,49,Motorcycles,100,"Australian Collectors, Co.",03 9520 4555,Victoria,23-11-2004 00:00
10237,39,Motorcycles,100,Vitachrome Inc.,2125551500,NY,24-11-2004 00:00
10251,43,Motorcycles,100,Tekni Collectables Inc.,2015559350,NJ,25-11-2004 00:00
10263,41,Motorcycles,100,Gift Depot Inc.,2035552570,CT,26-11-2004 00:00
10275,36,Motorcycles,100,La Rochelle Gifts,40.67.8555,,27-11-2004 00:00
10285,27,Motorcycles,100,Marta's Replicas Co.,6175558555,MA,28-11-2004 00:00
10299,29,Motorcycles,100,"Toys of Finland, Co.",90-224 8555,,29-11-2004 00:00
10308,20,Motorcycles,100,Mini Classics,9145554562,NY,30-11-2004 00:00
10318,37,Motorcycles,100,Diecast Classics Inc.,2155551555,PA,01-12-2004 00:00
10329,26,Motorcycles,100,Land of Toys Inc.,2125557818,NY,02-12-2004 00:00
10339,39,Motorcycles,76.67,"Tokyo Collectables, Ltd",+81 3 3584 0555,Tokyo,03-12-2004 00:00
10362,22,Motorcycles,100,Technics Stores Inc.,6505556809,CA,04-12-2004 00:00
10374,22,Motorcycles,100,"Australian Gift Network, Co",61-7-3844-6555,Queensland,05-12-2004 00:00
10388,21,Motorcycles,86.77,FunGiftIdeas.com,5085552555,MA,06-12-2004 00:00
10403,66,Motorcycles,100,"UK Collectables, Ltd.",(171) 555-2282,,07-12-2004 00:00
10417,56,Motorcycles,100,Euro Shopping Channel,(91) 555 94 44,,08-12-2004 00:00
10105,50,Classic Cars,100,Danish Wholesale Imports,31 12 3555,,09-12-2004 00:00
10119,46,Classic Cars,100,Salzburg Collectables,6562-9555,,10-12-2004 00:00
10129,33,Classic Cars,100,"Stylish Desk Decors, Co.",(171) 555-0297,,11-12-2004 00:00
10143,49,Classic Cars,100,Mini Creations Ltd.,5085559555,MA,12-12-2004 00:00
10155,32,Classic Cars,100,"Toys of Finland, Co.",90-224 8555,,13-12-2004 00:00
10167,44,Classic Cars,100,Scandinavian Gift Ideas,0695-34 6555,,14-12-2004 00:00
10178,24,Classic Cars,100,Alpha Cognac,61.77.6555,,15-12-2004 00:00
10186,26,Classic Cars,100,"Double Decker Gift Stores, Ltd",(171) 555-7555,,16-12-2004 00:00
10197,45,Classic Cars,100,Enaco Distributors,(93) 203 4555,,17-12-2004 00:00
10209,39,Classic Cars,100,"Men 'R' US Retailers, Ltd.",2155554369,CA,18-12-2004 00:00
10222,49,Classic Cars,100,Collectable Mini Designs Co.,7605558146,CA,19-12-2004 00:00
10248,20,Classic Cars,100,Land of Toys Inc.,2125557818,NY,20-12-2004 00:00
10261,27,Classic Cars,100,Quebec Home Shopping Network,(514) 555-8054,Quebec,21-12-2004 00:00
10273,30,Classic Cars,100,Petit Auto,(02) 5554 67,,22-12-2004 00:00
10283,25,Classic Cars,100,"Royal Canadian Collectables, Ltd.",(604) 555-4555,BC,23-12-2004 00:00
10295,24,Classic Cars,100,Gifts4AllAges.com,6175559555,MA,24-12-2004 00:00
10307,22,Classic Cars,100,"Classic Gift Ideas, Inc",2155554695,PA,25-12-2004 00:00
10316,33,Classic Cars,100,giftsbymail.co.uk,(198) 555-8888,Isle of Wight,26-12-2004 00:00
10325,47,Classic Cars,64.93,Baane Mini Imports,07-98 9555,,27-12-2004 00:00
10337,25,Classic Cars,48.05,Classic Legends Inc.,2125558493,NY,28-12-2004 00:00
10350,26,Classic Cars,75.47,Euro Shopping Channel,(91) 555 94 44,,29-12-2004 00:00
10359,48,Classic Cars,54.68,Reims Collectables,26.47.1555,,30-12-2004 00:00
10373,39,Classic Cars,100,"Oulu Toy Supplies, Inc.",981-443655,,31-12-2004 00:00
10384,34,Classic Cars,100,Corporate Gift Ideas Co.,6505551386,CA,01-01-2005 00:00
10395,32,Classic Cars,100,Lyon Souveniers,+33 1 46 62 7555,,02-01-2005 00:00
10400,64,Classic Cars,100,The Sharp Gifts Warehouse,4085553659,CA,03-01-2005 00:00
10414,19,Classic Cars,100,Gifts4AllAges.com,6175559555,MA,04-01-2005 00:00
10103,42,Classic Cars,100,Baane Mini Imports,07-98 9555,,05-01-2005 00:00
10114,31,Classic Cars,100,"La Corne D'abondance, Co.",(1) 42.34.2555,,06-01-2005 00:00
10126,22,Classic Cars,100,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,07-01-2005 00:00
10140,26,Classic Cars,100,Technics Stores Inc.,6505556809,CA,08-01-2005 00:00
10150,20,Classic Cars,100,"Dragon Souveniers, Ltd.",+65 221 7555,,09-01-2005 00:00
10164,21,Classic Cars,100,Mini Auto Werke,7675-3555,,10-01-2005 00:00
10175,33,Classic Cars,100,"Stylish Desk Decors, Co.",(171) 555-0297,,11-01-2005 00:00
10183,28,Classic Cars,100,"Classic Gift Ideas, Inc",2155554695,PA,12-01-2005 00:00
10194,26,Classic Cars,100,"Saveley & Henriot, Co.",78.32.5555,,13-01-2005 00:00
10207,31,Classic Cars,100,Diecast Collectables,6175552555,MA,14-01-2005 00:00
10217,48,Classic Cars,100,Handji Gifts& Co,+65 224 1555,,15-01-2005 00:00
10229,50,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,16-01-2005 00:00
10245,28,Classic Cars,100,Super Scale Inc.,2035559545,CT,17-01-2005 00:00
10259,26,Classic Cars,100,Handji Gifts& Co,+65 224 1555,,18-01-2005 00:00
10270,32,Classic Cars,100,Souveniers And Things Co.,+61 2 9495 8555,NSW,19-01-2005 00:00
10281,44,Classic Cars,100,Diecast Classics Inc.,2155551555,PA,20-01-2005 00:00
10291,30,Classic Cars,100,Scandinavian Gift Ideas,0695-34 6555,,21-01-2005 00:00
10305,38,Classic Cars,100,Marta's Replicas Co.,6175558555,MA,22-01-2005 00:00
10313,40,Classic Cars,100,Canadian Gift Exchange Network,(604) 555-3392,BC,23-01-2005 00:00
10322,46,Classic Cars,61.99,Online Diecast Creations Co.,6035558647,NH,24-01-2005 00:00
10334,26,Classic Cars,100,"Volvo Model Replicas, Co",0921-12 3555,,25-01-2005 00:00
10347,27,Classic Cars,100,"Australian Collectors, Co.",03 9520 4555,Victoria,26-01-2005 00:00
10357,43,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,27-01-2005 00:00
10370,35,Classic Cars,65.63,"Anna's Decorations, Ltd",02 9936 8555,NSW,28-01-2005 00:00
10381,37,Classic Cars,100,Corporate Gift Ideas Co.,6505551386,CA,29-01-2005 00:00
10391,37,Classic Cars,46.9,"Anna's Decorations, Ltd",02 9936 8555,NSW,30-01-2005 00:00
10411,27,Classic Cars,100,Quebec Home Shopping Network,(514) 555-8054,Quebec,31-01-2005 00:00
10425,38,Classic Cars,100,La Rochelle Gifts,40.67.8555,,01-02-2005 00:00
10108,33,Classic Cars,100,Cruz & Sons Co.,+63 2 555 3587,,02-02-2005 00:00
10122,42,Classic Cars,100,Marseille Mini Autos,91.24.4555,,03-02-2005 00:00
10135,42,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,04-02-2005 00:00
10147,48,Classic Cars,100,Collectables For Less Inc.,6175558555,MA,05-02-2005 00:00
10159,41,Classic Cars,100,Corporate Gift Ideas Co.,6505551386,CA,06-02-2005 00:00
10169,30,Classic Cars,100,"Anna's Decorations, Ltd",02 9936 8555,NSW,07-02-2005 00:00
10181,27,Classic Cars,100,Herkku Gifts,+47 2267 3215,,08-02-2005 00:00
10191,21,Classic Cars,100,"Toms Spezialitten, Ltd",0221-5554327,,09-02-2005 00:00
10203,20,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,10-02-2005 00:00
10211,41,Classic Cars,100,Auto Canal Petit,(1) 47.55.6555,,11-02-2005 00:00
10225,27,Classic Cars,100,"Vida Sport, Ltd",0897-034555,,12-02-2005 00:00
10238,28,Classic Cars,100,Danish Wholesale Imports,31 12 3555,,13-02-2005 00:00
10253,24,Classic Cars,100,"UK Collectables, Ltd.",(171) 555-2282,,14-02-2005 00:00
10266,44,Classic Cars,100,L'ordine Souveniers,0522-556555,,15-02-2005 00:00
10276,50,Classic Cars,100,Online Mini Collectables,6175557555,MA,16-02-2005 00:00
10287,21,Classic Cars,100,"Vida Sport, Ltd",0897-034555,,17-02-2005 00:00
10300,33,Classic Cars,100,"Blauer See Auto, Co.",+49 69 66 90 2555,,18-02-2005 00:00
10310,33,Classic Cars,100,"Toms Spezialitten, Ltd",0221-5554327,,19-02-2005 00:00
10320,31,Classic Cars,100,"Volvo Model Replicas, Co",0921-12 3555,,20-02-2005 00:00
10329,41,Classic Cars,71.47,Land of Toys Inc.,2125557818,NY,21-02-2005 00:00
10341,45,Classic Cars,79.65,Salzburg Collectables,6562-9555,,22-02-2005 00:00
10363,33,Classic Cars,85.39,Suominen Souveniers,+358 9 8045 555,,23-02-2005 00:00
10375,45,Classic Cars,76,La Rochelle Gifts,40.67.8555,,24-02-2005 00:00
10389,26,Classic Cars,99.04,Scandinavian Gift Ideas,0695-34 6555,,25-02-2005 00:00
10419,12,Classic Cars,100,Salzburg Collectables,6562-9555,,26-02-2005 00:00
10105,41,Classic Cars,100,Danish Wholesale Imports,31 12 3555,,27-02-2005 00:00
10117,33,Classic Cars,100,"Dragon Souveniers, Ltd.",+65 221 7555,,28-02-2005 00:00
10127,46,Classic Cars,100,Muscle Machine Inc,2125557413,NY,01-03-2005 00:00
10142,33,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,02-03-2005 00:00
10153,20,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,03-03-2005 00:00
10165,44,Classic Cars,100,"Dragon Souveniers, Ltd.",+65 221 7555,,04-03-2005 00:00
10176,33,Classic Cars,100,L'ordine Souveniers,0522-556555,,05-03-2005 00:00
10185,21,Classic Cars,100,Mini Creations Ltd.,5085559555,MA,06-03-2005 00:00
10196,47,Classic Cars,100,Super Scale Inc.,2035559545,CT,07-03-2005 00:00
10208,46,Classic Cars,100,"Saveley & Henriot, Co.",78.32.5555,,08-03-2005 00:00
10220,32,Classic Cars,100,"Clover Collections, Co.",+353 1862 1555,,09-03-2005 00:00
10231,42,Classic Cars,100,CAF Imports,+34 913 728 555,,10-03-2005 00:00
10247,44,Classic Cars,100,Suominen Souveniers,+358 9 8045 555,,11-03-2005 00:00
10272,35,Classic Cars,100,Diecast Classics Inc.,2155551555,PA,12-03-2005 00:00
10282,41,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,13-03-2005 00:00
10293,46,Classic Cars,100,Amica Models & Co.,011-4988555,,14-03-2005 00:00
10306,31,Classic Cars,100,"AV Stores, Co.",(171) 555-1555,,15-03-2005 00:00
10314,38,Classic Cars,100,Heintze Collectables,86 21 3555,,16-03-2005 00:00
10325,42,Classic Cars,64,Baane Mini Imports,07-98 9555,,17-03-2005 00:00
10336,33,Classic Cars,57.22,"La Corne D'abondance, Co.",(1) 42.34.2555,,18-03-2005 00:00
10348,48,Classic Cars,52.36,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,19-03-2005 00:00
10359,42,Classic Cars,100,Reims Collectables,26.47.1555,,20-03-2005 00:00
10371,32,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,21-03-2005 00:00
10382,34,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,22-03-2005 00:00
10395,33,Classic Cars,69.12,Lyon Souveniers,+33 1 46 62 7555,,23-03-2005 00:00
10413,36,Classic Cars,100,Gift Depot Inc.,2035552570,CT,24-03-2005 00:00
10103,27,Trucks and Buses,100,Baane Mini Imports,07-98 9555,,25-03-2005 00:00
10113,21,Trucks and Buses,100,Mini Gifts Distributors Ltd.,4155551450,CA,26-03-2005 00:00
10126,21,Trucks and Buses,100,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,27-03-2005 00:00
10140,38,Trucks and Buses,100,Technics Stores Inc.,6505556809,CA,28-03-2005 00:00
10150,30,Trucks and Buses,100,"Dragon Souveniers, Ltd.",+65 221 7555,,29-03-2005 00:00
10164,49,Trucks and Buses,100,Mini Auto Werke,7675-3555,,30-03-2005 00:00
10174,43,Trucks and Buses,100,"Australian Gift Network, Co",61-7-3844-6555,Queensland,31-03-2005 00:00
10183,41,Trucks and Buses,100,"Classic Gift Ideas, Inc",2155554695,PA,01-04-2005 00:00
10194,38,Trucks and Buses,100,"Saveley & Henriot, Co.",78.32.5555,,02-04-2005 00:00
10206,28,Trucks and Buses,100,Canadian Gift Exchange Network,(604) 555-3392,BC,03-04-2005 00:00
10216,43,Trucks and Buses,100,Auto Assoc. & Cie.,30.59.8555,,04-04-2005 00:00
10229,25,Trucks and Buses,100,Mini Gifts Distributors Ltd.,4155551450,CA,05-04-2005 00:00
10245,38,Trucks and Buses,100,Super Scale Inc.,2035559545,CT,06-04-2005 00:00
10258,41,Trucks and Buses,100,"Tokyo Collectables, Ltd",+81 3 3584 0555,Tokyo,07-04-2005 00:00
10270,28,Trucks and Buses,100,Souveniers And Things Co.,+61 2 9495 8555,NSW,08-04-2005 00:00
10281,25,Trucks and Buses,100,Diecast Classics Inc.,2155551555,PA,09-04-2005 00:00
10291,41,Trucks and Buses,100,Scandinavian Gift Ideas,0695-34 6555,,10-04-2005 00:00
10304,39,Trucks and Buses,100,Auto Assoc. & Cie.,30.59.8555,,11-04-2005 00:00
10313,21,Trucks and Buses,100,Canadian Gift Exchange Network,(604) 555-3392,BC,12-04-2005 00:00
10322,27,Trucks and Buses,100,Online Diecast Creations Co.,6035558647,NH,13-04-2005 00:00
10333,33,Trucks and Buses,99.21,Mini Wheels Co.,6505555787,CA,14-04-2005 00:00
10347,29,Trucks and Buses,100,"Australian Collectors, Co.",03 9520 4555,Victoria,15-04-2005 00:00
10357,49,Trucks and Buses,100,Mini Gifts Distributors Ltd.,4155551450,CA,16-04-2005 00:00
10370,49,Trucks and Buses,100,"Anna's Decorations, Ltd",02 9936 8555,NSW,17-04-2005 00:00
10381,20,Trucks and Buses,100,Corporate Gift Ideas Co.,6505551386,CA,18-04-2005 00:00
10391,39,Trucks and Buses,63.2,"Anna's Decorations, Ltd",02 9936 8555,NSW,19-04-2005 00:00
10411,40,Trucks and Buses,100,Quebec Home Shopping Network,(514) 555-8054,Quebec,20-04-2005 00:00
10424,49,Trucks and Buses,100,Euro Shopping Channel,(91) 555 94 44,,21-04-2005 00:00
10107,21,Motorcycles,100,Land of Toys Inc.,2125557818,NY,22-04-2005 00:00
10121,50,Motorcycles,100,Reims Collectables,26.47.1555,,23-04-2005 00:00
10134,20,Motorcycles,100,Lyon Souveniers,+33 1 46 62 7555,,24-04-2005 00:00
10145,49,Motorcycles,100,Toys4GrownUps.com,6265557265,CA,25-04-2005 00:00
10159,38,Motorcycles,100,Corporate Gift Ideas Co.,6505551386,CA,26-04-2005 00:00
10169,35,Motorcycles,100,"Anna's Decorations, Ltd",02 9936 8555,NSW,27-04-2005 00:00
10180,40,Motorcycles,100,Daedalus Designs Imports,20.16.1555,,28-04-2005 00:00
10189,28,Motorcycles,100,Toys4GrownUps.com,6265557265,CA,29-04-2005 00:00
10201,25,Motorcycles,100,Mini Wheels Co.,6505555787,CA,30-04-2005 00:00
10211,36,Motorcycles,100,Auto Canal Petit,(1) 47.55.6555,,01-05-2005 00:00
10224,43,Motorcycles,100,Daedalus Designs Imports,20.16.1555,,02-05-2005 00:00
10237,32,Motorcycles,100,Vitachrome Inc.,2125551500,NY,03-05-2005 00:00
10251,46,Motorcycles,100,Tekni Collectables Inc.,2015559350,NJ,04-05-2005 00:00
10263,48,Motorcycles,100,Gift Depot Inc.,2035552570,CT,05-05-2005 00:00
10276,43,Motorcycles,100,Online Mini Collectables,6175557555,MA,06-05-2005 00:00
10285,49,Motorcycles,100,Marta's Replicas Co.,6175558555,MA,07-05-2005 00:00
10299,24,Motorcycles,100,"Toys of Finland, Co.",90-224 8555,,08-05-2005 00:00
10309,26,Motorcycles,100,Baane Mini Imports,07-98 9555,,09-05-2005 00:00
10319,30,Motorcycles,100,Microscale Inc.,2125551957,NY,10-05-2005 00:00
10329,24,Motorcycles,100,Land of Toys Inc.,2125557818,NY,11-05-2005 00:00
10341,55,Motorcycles,100,Salzburg Collectables,6562-9555,,12-05-2005 00:00
10362,22,Motorcycles,100,Technics Stores Inc.,6505556809,CA,13-05-2005 00:00
10375,49,Motorcycles,78.92,La Rochelle Gifts,40.67.8555,,14-05-2005 00:00
10388,44,Motorcycles,100,FunGiftIdeas.com,5085552555,MA,15-05-2005 00:00
10403,66,Motorcycles,100,"UK Collectables, Ltd.",(171) 555-2282,,16-05-2005 00:00
10417,21,Motorcycles,100,Euro Shopping Channel,(91) 555 94 44,,17-05-2005 00:00
10104,34,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,18-05-2005 00:00
10117,43,Classic Cars,100,"Dragon Souveniers, Ltd.",+65 221 7555,,19-05-2005 00:00
10127,46,Classic Cars,100,Muscle Machine Inc,2125557413,NY,20-05-2005 00:00
10142,33,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,21-05-2005 00:00
10153,42,Classic Cars,100,Euro Shopping Channel,(91) 555 94 44,,22-05-2005 00:00
10165,34,Classic Cars,100,"Dragon Souveniers, Ltd.",+65 221 7555,,23-05-2005 00:00
10176,47,Classic Cars,100,L'ordine Souveniers,0522-556555,,24-05-2005 00:00
10185,33,Classic Cars,100,Mini Creations Ltd.,5085559555,MA,25-05-2005 00:00
10196,24,Classic Cars,100,Super Scale Inc.,2035559545,CT,26-05-2005 00:00
10208,26,Classic Cars,100,"Saveley & Henriot, Co.",78.32.5555,,27-05-2005 00:00
10220,30,Classic Cars,100,"Clover Collections, Co.",+353 1862 1555,,28-05-2005 00:00
10230,43,Classic Cars,100,"Blauer See Auto, Co.",+49 69 66 90 2555,,29-05-2005 00:00
10247,25,Classic Cars,100,Suominen Souveniers,+358 9 8045 555,,30-05-2005 00:00
10272,27,Classic Cars,100,Diecast Classics Inc.,2155551555,PA,31-05-2005 00:00
10282,27,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,01-06-2005 00:00
10293,24,Classic Cars,100,Amica Models & Co.,011-4988555,,02-06-2005 00:00
10306,34,Classic Cars,100,"AV Stores, Co.",(171) 555-1555,,03-06-2005 00:00
10314,46,Classic Cars,100,Heintze Collectables,86 21 3555,,04-06-2005 00:00
10324,27,Classic Cars,54.33,Vitachrome Inc.,2125551500,NY,05-06-2005 00:00
10336,33,Classic Cars,100,"La Corne D'abondance, Co.",(1) 42.34.2555,,06-06-2005 00:00
10348,47,Classic Cars,100,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,07-06-2005 00:00
10358,49,Classic Cars,55.34,Euro Shopping Channel,(91) 555 94 44,,08-06-2005 00:00
10372,40,Classic Cars,100,"Tokyo Collectables, Ltd",+81 3 3584 0555,Tokyo,09-06-2005 00:00
10382,37,Classic Cars,100,Mini Gifts Distributors Ltd.,4155551450,CA,10-06-2005 00:00
10413,47,Classic Cars,100,Gift Depot Inc.,2035552570,CT,11-06-2005 00:00
10108,45,Classic Cars,100,Cruz & Sons Co.,+63 2 555 3587,,12-06-2005 00:00
